,Review,Rating
85,"[[('gostei', 'VERB'), ('nao', 'NOUN'), ('conteúdo', 'NOUN'), ('site', 'NOUN'), ('descomplica', 'NOUN'), ('versão', 'NOUN'), ('mobile', 'NOUN')]]",4
86,"[[('Professores', 'NOUN'), ('engraçados', 'VERB'), ('matéria', 'NOUN'), ('completa', 'ADJ'), ('exercícios', 'NOUN'), ('difíceis', 'ADJ'), ('é', 'VERB'), ('aprende', 'VERB')]]",5
87,"[[('amo', 'VERB'), ('plataforma', 'NOUN')]]",5
88,[[]],5
89,"[[('aplicativo', 'ADJ'), ('celulares', 'NOUN'), ('é', 'VERB'), ('bom', 'ADJ'), ('tablets', 'NOUN'), ('é', 'VERB'), ('ruim', 'ADJ')], [('tablets', 'NOUN'), ('fica', 'VERB'), ('modo', 'NOUN'), ('retrato', 'NOUN'), ('interação', 'NOUN'), ('modo', 'NOUN'), ('multi-tarefa', 'NOUN'), ('usado', 'VERB'), ('ver', 'VERB'), ('PDFs', 'NOUN'), ('aulas', 'NOUN')], [('sugestões', 'NOUN'), ('modo', 'NOUN'), ('paisagem', 'NOUN'), ('modo', 'NOUN'), ('multitarefa', 'NOUN')]]",4
90,"[[('é', 'VERB'), ('legal', 'ADJ'), ('incentiva', 'VERB'), ('estudar', 'VERB'), ('porem', 'VERB'), ('gostaria', 'VERB'), ('saber', 'VERB'), ('tirar', 'VERB'), ('duvidas', 'VERB'), ('relaçao', 'NOUN'), ('materias', 'NOUN')]]",5
91,"[[('Trava', 'VERB')]]",3
92,"[[('Bonzão', 'NOUN')]]",5
93,"[[('melhor', 'ADJ'), ('aplicativo', 'ADJ')], []]",5
94,"[[('App', 'NOUN'), ('organizado', 'VERB'), ('vídeo', 'NOUN'), ('aulas', 'NOUN'), ('HD', 'NOUN'), ('programação', 'NOUN'), ('semana', 'NOUN')], [('Descomplica', 'NOUN'), ('é', 'VERB'), ('mto', 'NOUN'), ('bom', 'ADJ'), ('😍', 'NOUN')]]",5
95,"[[('preparando', 'VERB'), ('segunda', 'ADJ'), ('graduação', 'NOUN'), ('voces', 'NOUN')], [('Amores', 'NOUN'), ('Nao', 'NOUN'), ('IOS', 'NOUN'), ('Nao', 'NOUN')]]",5
96,"[[('sugestões', 'NOUN'), ('Poder', 'VERB'), ('configurar', 'VERB'), ('valores', 'NOUN'), ('intermediários', 'NOUN'), ('velocidade', 'NOUN'), ('reprodução', 'NOUN'), ('vídeos', 'NOUN')], [('opções', 'NOUN'), ('1.5', 'NOUN')], [('Poderia', 'VERB'), ('ter', 'VERB'), ('1.1', 'NOUN'), ('1.2', 'NOUN'), ('1.3', 'NOUN'), ('1.4', 'NOUN'), ('1.7', 'NOUN'), ('1.8', 'NOUN'), ('1.9', 'NOUN'), ('deixar', 'VERB'), ('aberto', 'VERB')], [('1.5', 'NOUN'), ('é', 'VERB'), ('rapido', 'VERB'), ('acho', 'VERB'), ('lento', 'ADJ')], [('Poder', 'VERB'), ('setar', 'VERB'), ('configurações', 'NOUN'), ('velocidade', 'NOUN'), ('padrão', 'NOUN'), ('execução', 'NOUN'), ('vídeos', 'NOUN'), ('voltam', 'VERB')], [('aulas', 'NOUN'), ('dar', 'VERB'), ('possibilidade', 'NOUN'), ('baixar', 'VERB'), ('disciplina', 'NOUN'), ('inteira', 'NOUN'), ('assuntos', 'NOUN'), ('inteiros', 'NOUN'), ('ter', 'VERB'), ('entrar', 'VERB')]]",5
97,"[[('problemas', 'NOUN'), ('fazer', 'VERB'), ('login', 'NOUN'), ('chat', 'NOUN'), ('traventos', 'NOUN'), ('digitar', 'VERB'), ('mensagens', 'NOUN')]]",4
98,"[[('App', 'NOUN'), ('fácil', 'ADJ'), ('ser', 'VERB'), ('utilizado', 'VERB')], [('única', 'ADJ'), ('coisa', 'NOUN'), ('ruim', 'ADJ'), ('é', 'VERB'), ('aulas', 'NOUN'), ('ordem', 'NOUN'), ('cronológica', 'NOUN'), ('quer', 'VERB'), ('estudar', 'VERB'), ('específico', 'ADJ'), ('é', 'VERB'), ('fácil', 'ADJ'), ('procurar', 'VERB'), ('aulas', 'NOUN'), ('determinado', 'VERB'), ('assunto', 'NOUN')], [('Aulas', 'NOUN'), ('ótimas', 'NOUN')]]",5
99,"[[('Gostoi', 'NOUN'), ('versão', 'NOUN'), ('Ensino', 'NOUN'), ('Médio', 'ADJ')], [('poderia', 'VERB'), ('dá', 'VERB'), ('atenção', 'NOUN'), ('melhor', 'ADJ'), ('público', 'NOUN')]]",4
